"Date","WTi","Brent","Dubai"
"2022-11-15","86.92","93.86","86.83"
"2022-11-14","85.87","93.14","91.04"
"2022-11-11","88.96","95.99","91.05"
"2022-11-10","86.47","93.67","87.18"
"2022-11-09","85.83","92.65","89.8"
"2022-11-08","88.91","95.36","92.34"
"2022-11-07","91.79","97.92","92.92"
"2022-11-04","92.61","98.57","92.31"
"2022-11-03","88.17","94.67","89.83"
"2022-11-02","90","96.16","91.02"
"2022-11-01","88.37","94.65","91.44"
"2022-10-31","86.53","94.83","90.64"
"2022-10-28","87.9","95.77","92.66"
"2022-10-27","89.08","96.96","92.4"
"2022-10-26","87.91","95.69","90.39"
"2022-10-25","85.32","93.52","89.6"
"2022-10-21","85.05","93.5","90.74"
"2022-10-20","85.55","92.41","85.79"
"2022-10-19","85.55","92.41","85.79"
"2022-10-18","82.82","90.03","88.85"
"2022-10-17","85.46","91.62","89.69"
"2022-10-14","85.61","91.63","92.12"
"2022-10-13","89.11","94.57","91.19"
"2022-10-12","87.27","92.45","92.95"
"2022-10-11","89.35","94.29","93.73"
"2022-10-10","91.13","96.19","96.51"
"2022-10-07","88.45","93.31","94.42"
"2022-10-06","88.45","94.42","93.31"
"2022-10-05","87.76","93.37","91.22"
"2022-10-04","86.52","91.8","88.82"
"2022-10-03","83.63","88.86","88.28"
"2022-09-30","79.49","87.96","89.51"
"2022-09-29","81.23","88.49","87.33"
"2022-09-28","82.15","89.32","84.66"
"2022-09-27","78.5","86.27","84.25"
"2022-09-26","76.71","84.06","84.89"
"2022-09-23","78.74","86.15","88.82"
"2022-09-22","83.49","90.46","91.21"
"2022-09-21","82.94","89.83","92.77"
"2022-09-20","84.45","90.62","92.59"
"2022-09-19","85.73","92","90.36"
"2022-09-16","85.11","91.35","91.04"
"2022-09-15","85.1","90.84","93.66"
"2022-09-14","88.48","94.1","92.73"
"2022-09-13","87.31","93.17","94.5"
"2022-09-12","87.78","94","92.42"
"2022-09-09","86.79","92.84","90.45"
"2022-09-08","81.94","88","92.27"
"2022-09-07","86.88","92.83","95.25"
"2022-09-06","86.88","92.83","95.25"
"2022-09-02","86.87","93.02","94.74"
"2022-09-01","86.61","92.36","93.99"
"2022-08-31","89.55","96.49","97.88"
